title,url
"Unterstützung für den Betriebsmedizinischen Dienst des JRC Karlsruhe","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/2d01cb3d-4314-4f6b-8eb3-04c5a0b5c7b9-CN"
"Purchase of fuel for generators and vehicles of the Delegation of the European Union to South Sudan","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/a89204db-9e2e-4cbd-84e0-4b5611f79ee1-CN"
"Supervision of Works and FOPIP for Construction Works for Wastewater Collection and Treatment System in the City of Čačak","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/145d9223-65d0-40a8-a418-db3440325907-CN"
"Bank Account Services for DORA","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/12fa9422-fb8f-45b1-a061-ca7e59b4dd79-EXA"
"Gender-Based Violence Data: Collection, Updates & Policy Alignment","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/7fd95894-576e-4f84-98e5-cf2a9bc771f3-CN"
"Framework contract ""Accelerated closure of open ERDF cases from Germany of 2007-2013 programming period""","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/3b152de7-923f-41cf-a13a-529b18a09545-CN"
"Consumer protection and non-food product safety (SPEAC PHASE III)","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/cf2c419a-b355-406e-82d5-c120674273f0-CN"
"Stakeholders Support Platform","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/213b6b8c-2c72-4d6f-9e14-781878896978-CN"
"06C70/2025/M038 - Contrat-cadre d'assistance à la maîtrise d'ouvrage en termes de durabilité","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/be7cba11-3f89-4510-a09d-b67e396d4226-CN"
"Consultancy services on preventive and remedial measures or the imposition of penalties to Recognised Organisations","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/4c575e09-f9da-4932-bb4d-6d6a41d147f3-CN"
"Establishment of an Advisory Tool for the Outermost Regions (2025CE160AT003)","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/cfdb1d1b-6cb9-4d3a-b894-1fffb17b6efe-CN"
"Contrôle annuel et entretien d'extincteurs","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/f59034eb-f56e-4107-80b2-503f39f820c1-CN"
"Stability monitoring of GMO CRMs","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/e55e93c0-f5ff-43d8-b2bb-0cee8da21989-EXA"
"Bestellung eines Sicherheits- und Gesundheitsschutzkoordinators für das Bauvorhaben „Neubau Laborgebäude Flügel M 2.0“ am Standort des JRC Karlsruhe","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/627d1f2d-22d8-4414-9807-9b6944aa2dba-PIN"
"Database, monitoring and research on Renewable Energy Auctions","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/5c648986-c417-4d73-ab82-ed819f402d56-CN"
"Call for expressions of interest (CEI) to establish a list of independent experts to provide expertise to the European Union Agency for Railways.","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/6f588ea6-cac2-42e5-b78c-cfbac91793d6-CN"
"Rental of mobile offices, storages, and sanitary containers and associated services in Iceland, Sweden, Poland, Germany, Portugal, Cyprus, Belgium, Ukraine, and Montenegro","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/e089b173-48ba-45ab-8dba-5e9369c168c9-CN"
"Duty car rental services in in Finland, Norway and Sweden for Frontex operational activities","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/64d931fb-9ff1-4702-a08f-fd19b3a9dc00-CN"
"Duty car rental services in France, Portugal and Spain for Frontex operational activities (4 lots)","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/c7a75653-8020-4193-a16a-49a23344bc07-CN"
"A framework for the systematic comparison between the DSA Transparency reports & the DSA Transparency Database submissions","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/6aee0d86-4d56-4c47-9f34-23c4f169f7da-CN"
"Supply of electricity to JRC-Geel","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/feb3999e-d74a-4ed6-bf36-0a79d570d042-CN"
"Supply for strengthening institutional and technological capacities to investigate organised and cross-border crime and corruption","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/89a69891-033e-48f3-b582-5797ee774dbd-CN"
"Contrat-cadre de travaux de construction et de rénovation à Bazoches-sur-Guyonne (entreprise générale)","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/ec061c60-61c2-4f37-a49a-1d8bb69e3188-CN"
"Dynamic Purchasing System (DPS) for Provision of Software Development, Project Management and Quality Assurance Services (PROMAQ DPS 1: Software development and maintenance services)","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/fbbea1db-f251-41de-a4db-8c2c9e16b2ae-CN"
"Market Research Study","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/a829fad7-8a99-470d-a6f6-e1edb517a293-PIN"
"Donation of scientific equipment","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/8204c3a9-0dcc-4104-9bb8-87659cedeb16-CN"
"Dynamic Purchasing System (DPS) for Provision of Software Development, Project Management and Quality Assurance Services (PROMAQ DPS 2: Project management, quality assurance and other support services)","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/3bbba72d-9117-4558-bdcd-fc8a0c76af18-CN"
"Servizi di un/a pediatra","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/bca2929c-1b9d-44b4-9762-aa34a4689a26-EXA"
"Vacuum and Cryogenic services and minor mechanical works","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/660f1b5b-8d93-4349-8e56-ba897d201087"
"User observations on usage of recommender systems to enable scaling of recommender systems experiments through automated and agentic means","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/4ab71ff5-0048-44ab-ac98-c5bb2c7f527b-CN"
"Technical Assistance for Equal Chances for Human Developement Programme","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/c4bbfe08-6e23-473b-a9e6-b962f96fe230-CN"
"Map Production services","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/292c8a41-f2c0-4105-865b-0cbe3f61c9f1-CN"
"Lieferung von Labormaterial für das JRC Karlsruhe","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/9ebd0ab0-6cd7-4761-a9c8-066e27d070c4-CN"
"Drought Chatbot for the European and Global Drought Observatories","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/29927c67-8922-40d3-962c-52233f21c06e-EXA"
"Travel management services","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/b2e65902-5055-43fa-8972-a32732acd384-PIN"
"Support to the Commission for the organisation of an Informal global dialogue on Digital Sequence Information and the Cali Fund","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/7114b323-2326-43e4-8dbc-84c2b6f9f316-CN"
"Preventief en correctief onderhoud van luchtbehandelingskasten van het GCO Petten","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/1c099fc0-5b8d-4e6f-aae7-f37a13349689-PIN"
"Preparation for Sectoral Operational Programme 2024-2027 Employment and Social Inclusion","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/f8c7af0f-74a5-4d4d-9ceb-50299286774b-CN"
"Support to implementation of ""EU for modern public administration""","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/2790a666-c306-43b9-a25a-8050520f5f1b-CN"
"Onderhoud van de UPS installaties in verscheidene gebouwen van het GCO Petten","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/a3d3d0a6-fd95-4a0b-868f-3950aa32c612-EXA"
"Promoting Trade and Investment in Angola","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/d4db9ba9-325a-4949-9b46-352e12e74344-CN"
"Supply and installation of hardware shredders","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/129acb21-13a7-4ea8-bd16-9b9e0b7a7a47-CN"
"Entreprise Générale pour la Maintenance et les Travaux de Second-Œuvre du Bâtiment","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/4573bd45-e96d-4ef5-beba-8d55b6fd5966-CN"
"Monitoring of Avian Influenza and other animal health diseases","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/a1b9769e-8f02-4f2e-ac5b-b9ea93867c86-CN"
"THETIS Enhancement and Maintenance","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/e170fbac-df99-48f7-a256-5ee0f92e32d2-CN"
